Affy ID,x,Gene Symbol
223642_at,1.020295252,
214023_x_at,1.009434484,
219196_at,0.990485958,
204697_s_at,0.982912226,
219301_s_at,0.974654528,
238605_at,0.921298072,
206104_at,0.92005867,
1555765_a_at,0.917726564,
206018_at,0.916966495,
204913_s_at,0.913077446,
206502_s_at,0.911935027,
229823_at,0.908691043,
1555867_at,0.901462477,
240236_at,0.896860731,
238073_at,0.88640934,
242940_x_at,0.877894244,
241833_at,0.877079484,
242601_at,0.873577872,
204851_s_at,0.854104241,
230496_at,0.853550018,
206135_at,0.852021667,
206935_at,0.841421012,
205825_at,0.840476621,
226980_at,0.839256913,
231650_s_at,0.833629685,
1554242_a_at,0.832635231,
227612_at,0.819704358,
232278_s_at,0.81577849,
1563012_x_at,0.805763774,
206940_s_at,0.798094669,
242002_at,0.796781041,
228033_at,0.777072699,
205229_s_at,0.77561395,
209915_s_at,0.773063177,
207147_at,0.77096541,
207267_s_at,0.769924372,
235465_at,0.766817301,
1558945_s_at,0.764947757,
223381_at,0.760424896,
230882_at,0.758047317,
240053_x_at,0.757413706,
215509_s_at,0.755623222,
210135_s_at,0.754267007,
231898_x_at,0.754111818,
204914_s_at,0.75210316,
205184_at,0.752102191,
220295_x_at,0.751553368,
230593_at,0.750880493,
219537_x_at,0.748291637,
222962_s_at,0.742999369,
230650_at,0.742770736,
206140_at,0.739968492,
1553970_s_at,0.736619656,
242138_at,0.734456895,
209942_x_at,0.733836728,
205278_at,0.733561069,
230220_at,0.73141145,
231558_at,0.727114038,
244364_at,0.723197489,
205830_at,0.7195324,
209988_s_at,0.718751424,
243483_at,0.717778109,
206045_s_at,0.717420001,
242629_at,0.717214672,
235795_at,0.712862317,
204471_at,0.712615144,
211341_at,0.711924964,
209891_at,0.711491142,
230143_at,0.711219881,
211814_s_at,0.709392709,
204995_at,0.708897288,
219983_at,0.698785876,
238966_at,0.697952574,
227123_at,0.696727709,
236641_at,0.696565392,
241031_at,0.696213238,
206282_at,0.695955175,
226618_at,0.694615667,
232760_at,0.693106396,
207781_s_at,0.689522141,
209956_s_at,0.689325482,
231432_at,0.686335306,
220334_at,0.683847236,
204850_s_at,0.680453566,
235545_at,0.679923275,
236302_at,0.679730096,
206290_s_at,0.678033469,
230831_at,0.676112726,
1556039_s_at,0.67529289,
237449_at,0.674946297,
219918_s_at,0.674471816,
230785_at,0.673816695,
226612_at,0.672281656,
240713_s_at,0.668981818,
204743_at,0.668482235,
209560_s_at,0.667069933,
219300_s_at,0.666053117,
207183_at,0.665698922,
213768_s_at,0.665349023,
209987_s_at,0.66365539,
214046_at,0.661494873,
208123_at,0.659367796,
203764_at,0.657708093,
217640_x_at,0.656965531,
1555602_a_at,0.655331376,
206915_at,0.654030497,
215143_at,0.651078447,
230547_at,0.648361236,
219302_s_at,0.64755452,
1556444_a_at,0.646628922,
229288_at,0.643781901,
239911_at,0.642689757,
228262_at,0.641041933,
226086_at,0.640954905,
215518_at,0.640460551,
1555471_a_at,0.638849079,
204822_at,0.636351368,
203967_at,0.634948835,
221703_at,0.634612132,
213609_s_at,0.633476629,
214655_at,0.631811695,
1558819_at,0.631606669,
1553654_at,0.629493441,
235781_at,0.628943314,
204260_at,0.626749119,
230238_at,0.624303314,
244427_at,0.62316886,
219945_at,0.622705848,
213967_at,0.622336248,
1552879_a_at,0.621488195,
239295_at,0.621320928,
206051_at,0.619063536,
213707_s_at,0.617670416,
239293_at,0.616168446,
222958_s_at,0.615158612,
206023_at,0.614826137,
205393_s_at,0.611683957,
222910_s_at,0.610338815,
228260_at,0.608795985,
203441_s_at,0.608267102,
219928_s_at,0.608260183,
206852_at,0.60802545,
228868_x_at,0.607106782,
210770_s_at,0.606021739,
