BIRC5,0.557496598
CDCA7,0.556730436
ADAM12,0.556431274
MMP13,0.556311855
DSC3,0.556109326
SERPINB3,0.55560944
GTSE1,0.555066974
TMPO,0.554622973
SPRR3,0.553623922
FAM83B,0.553525479
ZFR,0.552957561
MKI67,0.552870703
LRP12,0.552581327
PHTF2,0.551473733
GDPD1,0.551425865
STON2,0.550749662
FAM169A,0.549772328
LRP8,0.549693525
TTC3 /// TTC3P1,0.549500405
PARPBP,0.548948242
AP1S3,0.548700127
RSRC1,0.548632978
BUB1B,0.548607198
SLC44A5,0.548433131
CEP97,0.546488017
CCNT2,0.546486093
LOC102724985 /// PDXDC1 /// PDXDC2P,0.546401277
TMEM171,0.546380647
FBXO45,0.546303059
CDCA2,0.545725271
HS6ST2,0.545576929
ATP11B,0.545477602
UGT8,0.545409104
RALGPS2,0.545144655
ZNF417 /// ZNF587,0.54451813
XRN1,0.54448792
CKMT1A /// CKMT1B,0.544252946
RAB3B,0.543453706
TMEM144,0.543365173
DLX6,0.543089709
C15orf41,0.542257239
SLC7A11,0.541790422
CERS6,0.541583499
FAM83F,0.541544973
ZBTB6,0.540974463
TP63,0.539563426
ZNF280B,0.539500835
PBRM1,0.5394165
CENPF,0.539243856
EIF5A,0.539217856
DEPDC7,0.539112396
MAGEA10-MAGEA5 /// MAGEA5,0.53901746
FOXM1,0.538565016
PEX13,0.537748051
EIF5A2,0.53749599
STRN3,0.537483199
CENPA /// SLC35F6,0.537209995
COL1A1,0.537130142
IGSF9,0.537108937
ITGB8,0.537075384
DLX6-AS1,0.536502463
FAR1,0.536394313
FAM83C,0.536307111
ASPM,0.535769312
SKP2,0.535612776
BCL11A,0.535507801
LINC00869,0.535279859
SPAST,0.534403884
MEX3A,0.533509033
ZFX,0.533375393
FCRL5,0.533073088
KIF4A,0.532534295
HSPA4L,0.532485131
KRT13,0.531761977
TMEM182,0.531731965
HS6ST2,0.531633121
CCNB1,0.531437436
HMMR,0.531283023
TFAP2C,0.530478556
FBN2,0.52992567
ONECUT2,0.529912191
KRT16,0.529783136
SUSD4,0.529584185
KRT5,0.529442028
BUB1,0.529001175
CXADR,0.52832079
KLHL24,0.528226581
CASC5,0.527604463
TLK1,0.52664252
PRIM2,0.526411889
GNG4,0.526383876
CENPL,0.526345556
CAND1,0.526167794
IVL,0.526032507
MAGEA12,0.525693356
BIRC5,0.525522956
WDHD1,0.525344937
MANEA,0.525302484
FANCI,0.525149983
DLX6,0.52495457
DHX9,0.52471441
CALML3,0.524434138
FBXO32,0.524196675
UBE2T,0.523928371
SESN3,0.523522328
TPX2,0.522741341
KIF20A,0.52273714
LOC101928076,0.52261047
LOC389906,0.522357928
PAK2,0.522130052
LOC100506730,0.522095727
RAB12,0.521991998
DMRTA2,0.521820817
MRPL30,0.521800285
ELOVL6,0.521730941
MCM4,0.521380977
ECT2,0.521067755
ATAD2,0.52067945
FERMT1,0.520676844
CDC23,0.520438509
RPRD1A,0.520139699
S100A7,0.519942487
PTBP2,0.519434629
COL7A1,0.519239866
KIF15,0.518895295
AF279780,0.518742909
SPP1,0.517486595
BMS1P20 /// LOC101929959,0.517088095
SOX2-OT,0.516993468
TMTC3,0.516848114
CDC42SE1,0.516689704
RPAP3,0.516648202
CERS3,0.516418658
CEP89,0.516364138
HNF4G,0.515822541
AK4 /// LOC100507855,0.515382641
SLC13A3,0.51510876
CENPQ,0.514998964
PRKCI,0.514705994
MAGEA9 /// MAGEA9B,0.51414336
KRAS,0.514022832
ADH7,0.513405673
