"","x"
"1007_s_at",0.0608080492758258
"1053_at",0.190987864702792
"117_at",-0.0795966540142705
"121_at",0.0119369857722524
"1255_g_at",0.136278648965462
"1294_at",-0.270422267583806
"1316_at",-0.00265153684597852
"1320_at",-0.284303033055956
"1405_i_at",-0.284568870398498
"1431_at",0.0644656686148006
"1438_at",0.183627477693732
"1487_at",0.00169828961591811
"1494_f_at",0.0592314352828276
"1552256_a_at",0.0107362125657464
"1552257_a_at",0.170858582321787
"1552258_at",-0.177528131646618
"1552261_at",-0.132846402550126
"1552263_at",-0.188920098445581
"1552264_a_at",-0.113224392232818
"1552266_at",0.0336663388206779
"1552269_at",0.217176899935957
"1552271_at",0.0721184784007274
"1552272_a_at",-0.22974883272729
"1552274_at",-0.1851697190199
"1552275_s_at",-0.237888063546517
"1552276_a_at",0.0268689845319665
"1552277_a_at",0.0696630162838303
"1552278_a_at",0.0511522478019548
"1552279_a_at",0.0317735293623207
"1552280_at",-0.126101335777092
"1552281_at",-0.175197570817149
"1552283_s_at",-0.305890351423715
"1552286_at",-0.011687323351312
"1552287_s_at",-0.00453362319690265
"1552288_at",-0.0797430006998197
"1552289_a_at",-0.00997273783194763
"1552291_at",0.210928441689412
"1552293_at",-0.0787890280141821
"1552295_a_at",0.0697790413972816
"1552296_at",-0.0908768658349026
"1552299_at",0.295683941893607
"1552301_a_at",-0.0254853980422924
"1552302_at",-0.517517767242409
"1552303_a_at",-0.258327101895783
"1552304_at",-0.00786298403385421
"1552306_at",0.15434636089958
"1552307_a_at",0.0734130302170053
"1552309_a_at",-0.74234806117576
"1552310_at",0.0782938209859945
"1552311_a_at",0.0369275529338238
"1552312_a_at",0.156068543011797
"1552314_a_at",0.0890795163487843
"1552315_at",-0.128759064643885
"1552316_a_at",-0.335848218176442
"1552318_at",-0.518753466453585
"1552319_a_at",-0.101835473461975
"1552320_a_at",-0.162023822198692
"1552321_a_at",-0.461613085280268
"1552322_at",-0.0340554024842179
"1552323_s_at",0.175429576527329
"1552325_at",-0.204484241216991
"1552326_a_at",-0.246502085019977
"1552327_at",-0.0390142449410071
"1552329_at",-0.0201205003703193
"1552330_at",0.181369075562518
"1552332_at",-0.0707352348308641
"1552334_at",-0.247034324685406
"1552335_at",-0.114402106105961
"1552337_s_at",0.0198463237990527
"1552338_at",0.055451403580302
"1552340_at",0.0546317310967324
"1552343_s_at",-0.132122036597312
"1552344_s_at",0.308060995416071
"1552347_at",-0.0903172172460407
"1552348_at",-0.263655948072175
"1552349_a_at",-0.108753818563635
"1552354_at",-0.15376472684383
"1552355_s_at",0.0780416211587893
"1552359_at",-0.150933230901218
"1552360_a_at",-0.161737907316422
"1552362_a_at",-0.0376515255271006
"1552364_s_at",0.339871482848548
"1552365_at",0.0391024471535064
"1552367_a_at",0.105797862070538
"1552368_at",0.0117131735312399
"1552370_at",-0.260204192796248
"1552372_at",-0.138928082370624
"1552373_s_at",-0.110720367351427
"1552375_at",0.0390679960563458
"1552377_s_at",0.101873657428121
"1552378_s_at",0.0551348738704307
"1552379_at",-0.144579713219562
"1552381_at",0.568580711297736
"1552383_at",-0.0692985566655733
"1552384_a_at",-0.062101178148626
"1552386_at",-0.473234791081741
"1552388_at",-0.308997918754173
"1552389_at",0.153535705426533
"1552390_a_at",0.609104442225628
"1552391_at",-0.245388909760684
"1552393_at",-0.136059869412337
"1552394_a_at",-0.067507489465411
"1552395_at",-0.0307012323733935
"1552396_at",0.00512175027429396
"1552398_a_at",-0.717579893664763
"1552399_a_at",0.0100538136270838
"1552400_a_at",-0.214053667761059
"1552401_a_at",-0.0831210836732603
"1552402_at",0.318743178438019
"1552405_at",-0.0591736469740014
"1552408_at",-0.0702840201893516
"1552409_a_at",0.154458658795668
"1552410_at",-0.105008830765198
"1552411_at",0.122264884807486
"1552412_a_at",-0.0515309927069507
"1552414_at",-0.0840101157696691
"1552415_a_at",0.170442471382549
"1552417_a_at",0.336918153781729
"1552418_at",-0.0281264113681969
"1552419_s_at",-0.0507008502874324
"1552421_a_at",-0.100505339684127
"1552422_at",-0.189000369829889
"1552423_at",-0.222874459578923
"1552424_at",-0.0712093242064069
"1552425_a_at",0.096816647345155
"1552426_a_at",-0.007258912190931
"1552427_at",0.0699208292174942
"1552430_at",-0.0349425392243556
"1552432_at",0.0886749322845874
"1552436_a_at",-0.0776614500963166
"1552438_a_at",0.0962481093214075
"1552439_s_at",0.332326271667686
"1552440_at",-0.171367860590076
"1552445_a_at",-0.0134305982932166
"1552448_a_at",0.149351972589689
