"","x"
"1007_s_at",0.0104380534103092
"1053_at",0.0938529079487953
"117_at",0.00830044555000398
"121_at",0.00513199991841407
"1255_g_at",0.203178560062132
"1294_at",-0.123480652297885
"1316_at",0.0221945886869035
"1320_at",-0.129784418565942
"1405_i_at",-0.126289546730348
"1431_at",0.0302894513234921
"1438_at",0.175265005296573
"1487_at",0.0170797176317123
"1494_f_at",-0.0111906930411074
"1552256_a_at",0.0208180445760693
"1552257_a_at",0.129595404660765
"1552258_at",-0.0348251463288052
"1552261_at",0.0628062182583287
"1552263_at",-0.0822025070107273
"1552264_a_at",-0.0550754720741939
"1552266_at",0.127437813032545
"1552269_at",0.139387221485452
"1552271_at",0.0150834532844977
"1552272_a_at",0.0205438322547487
"1552274_at",-0.0453995733251156
"1552275_s_at",-0.169784914747262
"1552276_a_at",0.0699782760552032
"1552277_a_at",0.0395398411389405
"1552278_a_at",-0.04579167258927
"1552279_a_at",-0.0226184293854039
"1552280_at",-0.0320019345431477
"1552281_at",0.0208198192700899
"1552283_s_at",-0.229525473704053
"1552286_at",0.0263935111366271
"1552287_s_at",-0.0595732466202967
"1552288_at",0.211869490754593
"1552289_a_at",0.257370529646763
"1552291_at",0.120887532879341
"1552293_at",-0.0500310897260512
"1552295_a_at",-0.00010804582432189
"1552296_at",0.0211262783123953
"1552299_at",-0.0959645202052792
"1552301_a_at",0.0403041657248804
"1552302_at",-0.06252425739921
"1552303_a_at",-0.149305185574441
"1552304_at",0.0682728112066349
"1552306_at",0.146587639220439
"1552307_a_at",0.140024259386684
"1552309_a_at",-0.343867384126099
"1552310_at",-0.0337939080329681
"1552311_a_at",-0.0347850226447541
"1552312_a_at",0.00108404771622794
"1552314_a_at",0.0508875288808037
"1552315_at",-0.162303698081694
"1552316_a_at",-0.253974258095172
"1552318_at",-0.305067929695595
"1552319_a_at",-0.00935872086335987
"1552320_a_at",-0.0344940867547665
"1552321_a_at",-0.192916331166919
"1552322_at",0.0559995523889921
"1552323_s_at",-0.0787718770242478
"1552325_at",0.0633280378843
"1552326_a_at",-0.170893160574564
"1552327_at",-0.215642878468088
"1552329_at",-0.113158910162733
"1552330_at",0.0580962755187457
"1552332_at",-0.070651951303774
"1552334_at",-0.163467523573992
"1552335_at",-0.0822335429781078
"1552337_s_at",0.0701415409614414
"1552338_at",0.0487482832642832
"1552340_at",-0.0132539193268837
"1552343_s_at",0.0809079923378542
"1552344_s_at",-0.0117529660518023
"1552347_at",-0.00839510968521018
"1552348_at",-0.0445258868036098
"1552349_a_at",-0.0106340881035529
"1552354_at",0.0697848620599815
"1552355_s_at",0.0878500593781337
"1552359_at",0.0559265847686132
"1552360_a_at",-0.140715047300115
"1552362_a_at",-0.114149224291556
"1552364_s_at",0.191961784978803
"1552365_at",-0.0953157734626482
"1552367_a_at",0.0307707260259085
"1552368_at",0.158212732610554
"1552370_at",-0.159904225019409
"1552372_at",0.048968481397819
"1552373_s_at",0.0475608886402661
"1552375_at",-0.0749341039060085
"1552377_s_at",0.0143015604265577
"1552378_s_at",0.021422083816468
"1552379_at",0.0696921627954534
"1552381_at",0.217141457812087
"1552383_at",0.0275883770572163
"1552384_a_at",-0.00326273628742846
"1552386_at",-0.226410280116712
"1552388_at",-0.329125497034826
"1552389_at",0.154829218636284
"1552390_a_at",0.158465135887135
"1552391_at",0.0564166564131983
"1552393_at",0.0756899822763848
"1552394_a_at",0.06774855207004
"1552395_at",-0.0132433215226557
"1552396_at",0.0768683529742262
"1552398_a_at",-0.529250726723593
"1552399_a_at",0.0255186207628428
"1552400_a_at",-0.174512488465914
"1552401_a_at",0.0610288373332744
"1552402_at",0.0531336091988399
"1552405_at",0.0373511866449827
"1552408_at",0.036169173094786
"1552409_a_at",-0.0398570865503234
"1552410_at",-0.00904159212108002
"1552411_at",-0.0051408347711317
"1552412_a_at",0.106093895305348
"1552414_at",0.0793399073641576
"1552415_a_at",0.0639195848448328
"1552417_a_at",0.0236277342718285
"1552418_at",0.0217965684055519
"1552419_s_at",0.0673549623701217
"1552421_a_at",0.0635259777228929
"1552422_at",-0.242497097902774
"1552423_at",-0.0461507354568065
"1552424_at",0.0631953898154645
"1552425_a_at",0.126019433878351
"1552426_a_at",-0.0483570459656963
"1552427_at",0.0535851000361962
"1552430_at",0.0324639587229014
"1552432_at",0.0960917821289571
"1552436_a_at",-0.0587527149386728
"1552438_a_at",0.0732249507098951
"1552439_s_at",-0.105094857834896
"1552440_at",0.0192451240985465
"1552445_a_at",0.0468246433393718
"1552448_a_at",0.0299079135712743
"1552449_a_at",0.0415149978494749
"1552450_a_at",0.139049534710065
"1552452_at",0.0691939230555985
"1552453_a_at",0.0127261355905874
"1552455_at",0.0375373461495574
"1552456_a_at",-0.0255433005543588
"1552457_a_at",0.0610832483690773
"1552458_at",0.0604205518428471
"1552459_a_at",0.0614705590244113
"1552461_at",0.0663507532523939
"1552463_at",0.0446175347421613
"1552466_x_at",0.0935713885837999
"1552467_at",0.0331819656953649
"1552468_a_at",0.011925607395378
"1552470_a_at",0.0855040206312367
"1552472_a_at",0.104652479693309
"1552473_at",0.00783002856459847
"1552474_a_at",0.0769703977371814
"1552476_s_at",0.00927547761502057
"1552477_a_at",0.227717718698631
"1552478_a_at",0.176535111214175
"1552480_s_at",0.0334898845700782
"1552481_s_at",0.0687356370583123
"1552482_at",-0.00921385491994609
"1552484_at",-0.0185717451460889
"1552485_at",-0.134971757070076
"1552486_s_at",-0.204451856835242
"1552487_a_at",0.297768220433456
"1552489_s_at",0.125922793031163
"1552490_at",0.0260651335363955
"1552491_at",0.0122755739279476
"1552493_s_at",0.110286334931222
"1552494_at",0.0235184776718897
"1552496_a_at",-0.280671676926452
"1552497_a_at",-0.00394808393176715
"1552498_at",0.0358626209723725
"1552499_a_at",0.0509697665385405
"1552501_a_at",-0.0970854518125996
"1552502_s_at",0.172030879254013
"1552503_at",0.0352350239614982
"1552504_a_at",-0.00893007591684225
"1552506_at",0.0467162796479375
"1552507_at",0.0893870614187111
"1552508_at",0.0778286821462966
"1552509_a_at",-0.698955782058577
"1552510_at",-0.0258749867418069
"1552511_a_at",0.0813561863954928
"1552514_at",-0.0363578732969261
"1552515_at",0.0384449743896957
"1552516_a_at",-0.0404655463366952
"1552518_s_at",0.16306563238479
"1552519_at",0.198841792771609
"1552520_at",0.130857705273842
"1552521_a_at",0.15742938537817
"1552522_at",0.0716112540327587
"1552523_a_at",-0.0470711924734091
"1552524_at",-0.0192914335905892
"1552526_at",0.022349716119155
"1552528_at",0.0269232947527411
"1552531_a_at",0.119916217163685
"1552532_a_at",0.0832266364323018
"1552535_at",0.122566738463588
"1552536_at",0.0453115723795499
"1552538_a_at",-0.0420780821872635
"1552540_s_at",-0.0564167779562732
"1552541_at",0.0146567909605435
"1552542_s_at",0.0289804555753943
"1552543_a_at",0.107054051189063
"1552544_at",-0.0139234903661578
"1552546_a_at",0.106322586869581
"1552548_at",0.0772633364255164
"1552549_a_at",0.0284930743889342
"1552552_s_at",-0.00152546545624554
"1552553_a_at",-0.209793023518239
"1552554_a_at",0.00653408454293047
"1552555_at",0.0205129210891741
"1552557_a_at",-0.173286930799883
"1552558_a_at",0.0401255968335985
"1552559_a_at",0.0345175641142659
"1552562_at",0.0344556537008094
"1552563_a_at",-0.0560486382589054
"1552564_at",0.0487943858099984
"1552566_at",0.00775073650952662
"1552568_at",0.0701955666072152
"1552569_a_at",-0.0113060913765566
"1552570_at",0.0661051292791999
"1552572_a_at",0.118173748021031
"1552573_s_at",0.0976053118251454
